LMKTYPE_ID,DESCRIPTION,UD_FRENCH_DESC,DESCRIPTION,DESC_SOUNDEX,UD_FRENCH_DESC,TELEPHONE,PUBLIC_INFO,MUNICIP_NO,NAME_1,COORD_X,COORD_Y
WORSHIP,Place of Worship,Lieux de culte,Lighthouse Community Church,EGLISE KOMUNOTAIRE LIGTOUSE,Église communautaire Lighthouse,824-7994,1350 WALKLEY RD.,1,OTTAWA,370835,5026225
WORSHIP,Place of Worship,Lieux de culte,Mount Zion Church of the Firstborn,EGLISE MOUN ZION OF TE FIRSTBURN,Église Mount Zion of the Firstborn,744-7578,715 ST. LAURENT BLVD.,1,OTTAWA,371766,5033397
WORSHIP,Place of Worship,Lieux de culte,New Testament Assembly,NEW TESTAMEN ASSENBLI,New Testament Assembly,737-3205,107 MAIN,1,OTTAWA,369100,5030430
WORSHIP,Place of Worship,Lieux de culte,Bridlewood Community de la Nazarene,BRIDLEWOD KOMUNITI OF TE NASARENE,Bridlewood Community of the Nazarene,591-3469,2 STONEHAVEN,1,OTTAWA,354458,5016676
WORSHIP,Place of Worship,Lieux de culte,Trinity Church of the Nazarene,EGLISE TRINITI OF TE NASARENE,Église Trinity of the Nazarene,731-8926,480 AVALON PL.,1,OTTAWA,371413,5029892
WORSHIP,Place of Worship,Lieux de culte,St Nicholas Cathedral,KATEDRALE ST-NICHOLAS,Cathédrale St-Nicholas,230-2687,55 CLAREY AVE.,1,OTTAWA,368501,5029314
WORSHIP,Place of Worship,Lieux de culte,St Anthony's,ST-ENTONI,St-Anthony,236-2304,427 BOOTH,1,OTTAWA,366795,5029813
WORSHIP,Place of Worship,Lieux de culte,Notre Dame Cathedral,KATEDRALE NOTRE-DAME,Cathédrale Notre-Dame,241-7496,60 GUIGUES,1,OTTAWA,367696,5032536
WORSHIP,Place of Worship,Lieux de culte,Bell Street,BEL STRET,Bell Street,236-3400,384 ARLINGTON,1,OTTAWA,367069,5029793
WORSHIP,Place of Worship,Lieux de culte,Blessed Sacrament,BLESSED SAKRAMEN,Blessed Sacrament,232-4891,194 FOURTH AVE.,1,OTTAWA,367982,5029217
WORSHIP,Place of Worship,Lieux de culte,Assumption of the Blessed Virgin,ASSUMPTION OF TE BLESSED VIRJIN,Assumption of the Blessed Virgin,722-1372,1000 BYRON,1,OTTAWA,361880,5026997
WORSHIP,Place of Worship,Lieux de culte,Canadian Martyrs,EGLISE KANADIEN MARTIRS,Église Canadian Martyrs,232-5347,100 MAIN,1,OTTAWA,369002,5030465
WORSHIP,Place of Worship,Lieux de culte,Chinese United,CHINESE UNITED,Chinese United,594-4571,600 BANK,1,OTTAWA,368124,5030033
WORSHIP,Place of Worship,Lieux de culte,City View United,SITI VIEW UNITED,City View United,224-1021,6 EPWORTH AVE.,1,OTTAWA,364383,5023874
WORSHIP,Place of Worship,Lieux de culte,Carleton Memorial,KARLETON MEMORIAL,Carleton Memorial,224-7433,740 MELFA CRES,1,OTTAWA,367427,5025399
WORSHIP,Place of Worship,Lieux de culte,Dominion Chalmers,DOMINION CHALMERS,Dominion Chalmers,235-5143,355 COOPER,1,OTTAWA,367683,5031022
WORSHIP,Place of Worship,Lieux de culte,Emmanuel United,EMANUEL UNITED,Emmanuel United,733-0437,691 SMYTH RD.,1,OTTAWA,372223,5029282
WORSHIP,Place of Worship,Lieux de culte,Our Lady of Fatima,OUR LADI OF FATIMA,Our Lady of Fatima,722-7661,153 WOODROFFE AVE.,1,OTTAWA,361630,5026620
WORSHIP,Place of Worship,Lieux de culte,First United,FIRS UNITED,First United,232-1016,397 KENT ST.,1,OTTAWA,363106,5028230
WORSHIP,Place of Worship,Lieux de culte,First Unitarian Congrgation of Ottawa,ASSENBLE UNITARIENE FIRS D'OTA,Assemblée Unitarienne First d'Ottawa,725-1066,30 CLEARY,1,OTTAWA,361855,5027148
WORSHIP,Place of Worship,Lieux de culte,St James United,ST-JAMES UNITED,St-James United,236-0617,650 LYON ST.,1,OTTAWA,368028,5029603
WORSHIP,Place of Worship,Lieux de culte,Immaculate Heart of Mary,IMACULATE EAR OF MARI,Immaculate Heart of Mary,733-9636,1758 ALTA VISTA DR.,1,OTTAWA,370353,5029539
WORSHIP,Place of Worship,Lieux de culte,Hawthorne United,ATORNE UNTITED,Hawthorne Untited,733-4446,2244 RUSSELL RD.,1,OTTAWA,374220,5028769
WORSHIP,Place of Worship,Lieux de culte,Holy Cross,OLI KROS,Holy Cross,731-7834,685 WALKLEY RD.,1,OTTAWA,368665,5024963
WORSHIP,Place of Worship,Lieux de culte,Holy Rosary,OLI ROSARI,Holy Rosary,728-4935,1153 WELLINGTON,1,OTTAWA,365250,5029374
WORSHIP,Place of Worship,Lieux de culte,Kingsway United,KINGSWE UNITED,Kingsway United,722-7254,630 ISLAND PARK DR.,1,OTTAWA,364744,5028050
WORSHIP,Place of Worship,Lieux de culte,Our Lady of Assumption,OUR LADI OF ASSUMPTION,Our Lady of Assumption,746-8503,320 OLMSTEAD,1,OTTAWA,370446,5032985
WORSHIP,Place of Worship,Lieux de culte,Our Lady of Mount Carmel,OUR LADI OF MOUN KARMEL,Our Lady of Mount Carmel,748-6040,400 ST-LAURENT BLVD.,1,OTTAWA,371200,5034524
WORSHIP,Place of Worship,Lieux de culte,Mackay United,MACKE UNITED,Mackay United,749-8727,39 DUFFERIN,1,OTTAWA,368719,5033730
WORSHIP,Place of Worship,Lieux de culte,Madonna Della Risurrezione,MADONA DELA RISURESIONE,Madonna Della Risurrezione,723-4657,1621 FISHER AVE.,1,OTTAWA,366773,5024710
WORSHIP,Place of Worship,Lieux de culte,Oblates of Mary Immaculate,OBLATED OF MARI IMACULATE,Oblated of Mary Immaculate,232-5793,151 LAURIER AVE. E.,1,OTTAWA,368609,5032010
WORSHIP,Place of Worship,Lieux de culte,Ressurrection of Our Lord,RESSUREKTION OF OUR LOR,Ressurrection of our Lord,733-4661,1940 SAUNDERSON DR.,1,OTTAWA,372941,5029101
WORSHIP,Place of Worship,Lieux de culte,Our Lady of Perpetual Help,OUR LADI OF PERPETUAL EL,Our Lady of Perpetual Help,232-6960,15 LEBRETON N,1,OTTAWA,366702,5030297
WORSHIP,Place of Worship,Lieux de culte,St Augustine's,ST-OGUSTINE,St-Augustine,225-7388,1060 BASELINE RD.,1,OTTAWA,365147,5025355
WORSHIP,Place of Worship,Lieux de culte,St Patrick's Basilica Cathedral,KATEDRALE BASILIKE ST-PATRIK,Cathédrale Basilique St-Patrick,233-1125,281 NEPEAN,1,OTTAWA,367368,5031023
WORSHIP,Place of Worship,Lieux de culte,St Albertus Pfarrgemeinde,ST-ALBERTUS PFARJEMINDE,St-Albertus Pfarrgemeinde,722-3992,416 PARKDALE AVE.,1,OTTAWA,365150,5029198
WORSHIP,Place of Worship,Lieux de culte,St Basil's,ST-BASIL,St-Basil,729-5149,940 REX,1,OTTAWA,363180,5026091
WORSHIP,Place of Worship,Lieux de culte,St Brigid,ST-BRIJID,St-Brigid,241-5285,179 MURRAY,1,OTTAWA,368113,5032672
WORSHIP,Place of Worship,Lieux de culte,St Charbel Maronite,ST-CHARBEL MARONITE,St-Charbel Maronite,749-9494,245 DONALD,1,OTTAWA,370698,5032392
WORSHIP,Place of Worship,Lieux de culte,Centretown United,SENTRETON UNITED,Centretown United,232-9854,507 BANK,1,OTTAWA,368030,5030358
WORSHIP,Place of Worship,Lieux de culte,St George's Church,EGLISE ST-JORJE,Église St-George,728-0201,415 PICCADILLY,1,OTTAWA,364336,5028743
WORSHIP,Place of Worship,Lieux de culte,St Hyacinthe Polish Parish,PAROISSE POLONAISE ST-IASSINTE,Paroisse Polonaise St-Hyacinthe,230-0804,201 LEBRETON N,1,OTTAWA,366926,5029782
WORSHIP,Place of Worship,Lieux de culte,St Ignatius,ST-IGNATIUS,St-Ignatius,745-3961,518 DONALD,1,OTTAWA,371708,5032410
WORSHIP,Place of Worship,Lieux de culte,St Joseph,ST-JOSEF,St-Joseph,233-4095,151 LAURIER AVE. E.,1,OTTAWA,368609,5031969
WORSHIP,Place of Worship,Lieux de culte,The Life Centre,LIFE SENTRE,Life Centre,834-6585,2214 INNES RD.,1,OTTAWA,376348,5031850
WORSHIP,Place of Worship,Lieux de culte,Sequoia Community Church,EGLISE SEKOYA KOMUNITI,Église Sequoia Community,274-7733,1916 MERIVALE RD.,1,OTTAWA,365840,5021325
WORSHIP,Place of Worship,Lieux de culte,Reformed Presbyterian Church,EGLISE REFORMED PRESBITERIEN,Église Reformed Presbyterian,596-5566,466 WOODLAND AVE.,1,OTTAWA,361524,5025811
DAYCARE,Day Care Centres and Nurseries,Garderies,Andrew Fleck - George,ENDREW FLEK - RUE JORJE,Andrew Fleck - rue George,789-4100,195 George,1,OTTAWA,368415,5032475
DAYCARE,Day Care Centres and Nurseries,Garderies,Andrew Fleck - Knox,ENDREW FLEK - AVE. KNOX,Andrew Fleck - ave. Knox,789-4100,260 Knox,1,OTTAWA,371166,5029832
DAYCARE,Day Care Centres and Nurseries,Garderies,Bayview Kindergarten School Age Program,GARDERIE BAIVIEW KINDERGARTEN,Garderie Bayview Kindergarten,521-4912,3071 Riverside,1,OTTAWA,368385,5025227
DAYCARE,Day Care Centres and Nurseries,Garderies,Bernadette Child Care Centre,GARDERIE BERNADETE,Garderie Bernadette,562-5937,100 Thomas More,1,OTTAWA,368828,5031820
DAYCARE,Day Care Centres and Nurseries,Garderies,Bettye Hyde Co-op Nursery School,GARDERIE BETIE IDE KO-OP ,Garderie Bettye Hyde Co-op ,236-3108,317 Chapel,1,OTTAWA,369140,5032249
DAYCARE,Day Care Centres and Nurseries,Garderies,Bishop Hamilton - Regency,BICHOP AMILTON - REJENSI,Bishop Hamilton - Regency,596-4013,2199 Regency,1,OTTAWA,361838,5023457
DAYCARE,Day Care Centres and Nurseries,Garderies,Bishop Hamilton - Youville,BICHOP AMILTON - IOUVILLE,Bishop Hamilton - Youville,834-6265,1395 Youville,1,OTTAWA,379109,5036320
DAYCARE,Day Care Centres and Nurseries,Garderies,Bridlewood Child Learning,BRIDLEWOD CHIL LEARNIN,Bridlewood Child Learning,591-0171,2 Stonehaven,1,OTTAWA,354473,5016678
DAYCARE,Day Care Centres and Nurseries,Garderies,Broadview School Age Day Care,GARDERIE BROADVIEW,Garderie Broadview,722-0455,590 Broadview,1,OTTAWA,362968,5027137
DAYCARE,Day Care Centres and Nurseries,Garderies,Canadian Montessori Academy,GARDERIE KANADIEN MONTESSORI,Garderie Canadian Montessori,727-9427,70 Fieldrow,1,OTTAWA,364567,5023094
DAYCARE,Day Care Centres and Nurseries,Garderies,Capital Daycare Centre,GARDERIE KAPITAL,Garderie Capital,733-8208,1230 Bank,1,OTTAWA,368942,5028223
DAYCARE,Day Care Centres and Nurseries,Garderies,Carleton Heights Child Care Centre,GARDERIE KARLETON EIGT,Garderie Carleton Heights,224-8391,1660 Prince of Wales,1,OTTAWA,367463,5024787
DAYCARE,Day Care Centres and Nurseries,Garderies,Carleton Memorial Day Care Centre,GARDERIE KARLETON MEMORIAL,Garderie Carleton Memorial,226-1953,740 Melfa,1,OTTAWA,367486,5025421
DAYCARE,Day Care Centres and Nurseries,Garderies,Carlington Kindergarten School Age Prog.,GARDERIE KARLINGTON KINDERGARTEN,Garderie Carlington Kindergarten,729-9261,250 Anna,1,OTTAWA,365032,5027207
DAYCARE,Day Care Centres and Nurseries,Garderies,Aux 4 Vents Centre de l'Enfant,O 4 VENT SENTRE DE L'ENFEN,Aux 4 Vents Centre de l'Enfant,228-2613,2093 Bel-Air,1,OTTAWA,362583,5024995
DAYCARE,Day Care Centres and Nurseries,Garderies,Centre Éducatif Beausoleil,SENTRE EDUCATIF BOSOLEIL,Centre Éducatif Beausoleil,789-1398,333 York,1,OTTAWA,368749,5032853
DAYCARE,Day Care Centres and Nurseries,Garderies,Centre Éducatif Pinocchio,SENTRE EDUCATIF PINOCHIO,Centre Éducatif Pinocchio,789-1027,111 SUSSEX DR.,1,OTTAWA,367683,5033517
DAYCARE,Day Care Centres and Nurseries,Garderies,Centre Parascolaire Quatre Saisons,SENTRE PARASKOLAIRE KATRE SAISON,Centre Parascolaire Quatre Saisons,741-1987,230 Jeanne Mance,1,OTTAWA,370493,5032937
DAYCARE,Day Care Centres and Nurseries,Garderies,Centrepointe Child Care Services,GARDERIE SENTREPOINTE,Garderie Centrepointe,225-9678,75 Hemmingwood,1,OTTAWA,361949,5023078
DAYCARE,Day Care Centres and Nurseries,Garderies,Centretown Co-op Kindergarten Program,MATERNELE SENTRE-VILLE KO-OP,Maternele Centre-ville Co-op,230-3020,376 Gloucester,1,OTTAWA,367036,5030903
DAYCARE,Day Care Centres and Nurseries,Garderies,Centretown Parents Daycare Inc.,GARDERIE SENTRETON PARENT,Garderie Centretown Parents,235-7473,94 James,1,OTTAWA,367564,5030514
DAYCARE,Day Care Centres and Nurseries,Garderies,Children's Castle Daycare Ltd.,GARDERIE CHILDEN'S KASTLE,Garderie Childen's Castle,733-0380,1187 Hunt Club,1,OTTAWA,371370,5023927
DAYCARE,Day Care Centres and Nurseries,Garderies,Children's Centre,GARDERIE CHILDREN'S SENTRE ,Garderie Children's Centre ,728-1797,407 Hilson,1,OTTAWA,363902,5028662
